return_period,time,sign_acc
return_030d,2018-01-01,0.0
return_030d,2018-01-02,0.0
return_030d,2018-01-03,0.0
return_030d,2018-01-04,0.0
return_030d,2018-01-05,0.0
return_030d,2018-01-06,0.0
return_030d,2018-01-07,0.14285714285714285
return_030d,2018-01-08,0.25
return_030d,2018-01-09,0.3333333333333333
return_030d,2018-01-10,0.4
return_030d,2018-01-11,0.45454545454545453
return_030d,2018-01-12,0.5
return_030d,2018-01-13,0.5384615384615384
return_030d,2018-01-14,0.5714285714285714
return_030d,2018-01-15,0.6
return_030d,2018-01-16,0.625
return_030d,2018-01-17,0.6470588235294118
return_030d,2018-01-18,0.6666666666666666
return_030d,2018-01-19,0.6842105263157895
return_030d,2018-01-20,0.7
return_030d,2018-01-21,0.7142857142857143
return_030d,2018-01-22,0.7272727272727273
return_030d,2018-01-23,0.7391304347826086
return_030d,2018-01-24,0.75
return_030d,2018-01-25,0.76
return_030d,2018-01-26,0.7692307692307693
return_030d,2018-01-27,0.7777777777777778
return_030d,2018-01-28,0.7857142857142857
return_030d,2018-01-29,0.7931034482758621
return_030d,2018-01-30,0.8
return_030d,2018-01-31,0.8064516129032258
return_030d,2018-02-01,0.8125
return_030d,2018-02-02,0.8181818181818182
return_030d,2018-02-03,0.8235294117647058
return_030d,2018-02-04,0.8285714285714286
return_030d,2018-02-05,0.8333333333333334
return_030d,2018-02-06,0.8378378378378378
return_030d,2018-02-07,0.8421052631578947
return_030d,2018-02-08,0.8461538461538461
return_030d,2018-02-09,0.85
return_030d,2018-02-10,0.8536585365853658
return_030d,2018-02-11,0.8571428571428571
return_030d,2018-02-12,0.8604651162790697
return_030d,2018-02-13,0.8636363636363636
return_030d,2018-02-14,0.8666666666666667
return_030d,2018-02-15,0.8695652173913043
return_030d,2018-02-16,0.8723404255319149
return_030d,2018-02-17,0.875
return_030d,2018-02-18,0.8775510204081632
return_030d,2018-02-19,0.88
return_030d,2018-02-20,0.8627450980392157
return_030d,2018-02-21,0.8461538461538461
return_030d,2018-02-22,0.8301886792452831
return_030d,2018-02-23,0.8148148148148148
return_030d,2018-02-24,0.8
return_030d,2018-02-25,0.7857142857142857
return_030d,2018-02-26,0.7719298245614035
return_030d,2018-02-27,0.7586206896551724
return_030d,2018-02-28,0.7457627118644068
return_030d,2018-03-01,0.75
return_030d,2018-03-02,0.7540983606557377
return_030d,2018-03-03,0.7580645161290323
return_030d,2018-03-04,0.7619047619047619
return_030d,2018-03-05,0.765625
return_030d,2018-03-06,0.7692307692307693
return_030d,2018-03-07,0.7727272727272727
return_030d,2018-03-08,0.7761194029850746
return_030d,2018-03-09,0.7794117647058824
return_030d,2018-03-10,0.782608695652174
return_030d,2018-03-11,0.7714285714285715
return_030d,2018-03-12,0.7746478873239436
return_030d,2018-03-13,0.7638888888888888
