quantile,time,HashRate_ma7_ma30,mvrv_zscore,RSI,Mayer_multiple
0.1,2018-01-01,-0.012935041306704986,-1.173462926261442,0.0,0.0
0.2,2018-01-01,0.010895424311569315,-0.8710947621554304,0.0,0.0
0.3,2018-01-01,0.026709875216386746,-0.5173219146862295,0.0,0.0
0.4,2018-01-01,0.042775498234760304,-0.20398687460403409,0.0,0.0
0.5,2018-01-01,0.06161054917226161,0.0,0.0,0.0
0.6,2018-01-01,0.08851998351330254,0.6446349063161607,37.53737121929918,0.0
0.7,2018-01-01,0.12589476313262432,1.1288214671774561,49.09716360556509,1.0982105380751677
0.8,2018-01-01,0.17094619677938963,1.499157309012603,55.937665512954915,1.2195506301997883
0.9,2018-01-01,0.29405217373240217,2.1846967604429786,67.0693903867161,1.5244174521168918
0.1,2018-01-02,-0.012903020730060388,-1.1733616841132206,0.0,0.0
0.2,2018-01-02,0.01090006227101381,-0.8710679139708264,0.0,0.0
0.3,2018-01-02,0.026714862140968965,-0.517033272070988,0.0,0.0
0.4,2018-01-02,0.04277572922928896,-0.20380299655089182,0.0,0.0
0.5,2018-01-02,0.06162530586726456,0.0,0.0,0.0
0.6,2018-01-02,0.08846957621747742,0.643797024669738,37.61492451702716,0.0
0.7,2018-01-02,0.1258847646245711,1.128170030935661,49.08551110142832,1.098646685765093
0.8,2018-01-02,0.17086996990768233,1.498906614630034,55.9316006279996,1.2196274502523416
0.9,2018-01-02,0.29405081624776586,2.1846257716533968,67.06928612481519,1.52639280099066
0.1,2018-01-03,-0.012871000153415772,-1.1732604419649992,0.0,0.0
0.2,2018-01-03,0.010906480597448455,-0.8704352845220571,0.0,0.0
0.3,2018-01-03,0.026719849065551183,-0.5167446294557466,0.0,0.0
0.4,2018-01-03,0.04281788347431187,-0.20348958252804572,0.0,0.0
0.5,2018-01-03,0.061640062562267506,0.0,0.0,0.0
0.6,2018-01-03,0.08834909411740066,0.6434760386304202,37.63867176607603,0.0
0.7,2018-01-03,0.12587476611651785,1.1275185946938666,49.10929848947922,1.0990574409481226
0.8,2018-01-03,0.17081886799881843,1.4987894283428154,55.926204644760666,1.222929079944312
0.9,2018-01-03,0.29404945876312955,2.1845547828638145,67.06918186291428,1.5273446159813129
0.1,2018-01-04,-0.012838979576771173,-1.173159199816778,0.0,0.0
0.2,2018-01-04,0.010912898923883096,-0.8698026550732881,0.0,0.0
0.3,2018-01-04,0.026728808061217937,-0.516429179933351,0.0,0.0
0.4,2018-01-04,0.04286003771933475,-0.2031761685051998,0.0,0.0
0.5,2018-01-04,0.06166190973361929,0.0,0.0,0.0
0.6,2018-01-04,0.08822861201732396,0.6431550525911027,37.66513981802147,0.0
0.7,2018-01-04,0.1258030314258914,1.1270807730890082,49.12458140685957,1.0990672174320282
0.8,2018-01-04,0.17076776608995442,1.4986722420555962,55.920808661521725,1.2238171684794672
0.9,2018-01-04,0.29404810127849323,2.1844837940742328,67.06907760101336,1.528054571796019
0.1,2018-01-05,-0.012806959000126558,-1.1730579576685567,0.0,0.0
0.2,2018-01-05,0.01091931725031774,-0.869170025624519,0.0,0.0
0.3,2018-01-05,0.026745711199053755,-0.5160601165966472,0.0,0.0
