Date,Close,High,Low,Open,Volume
11/4/2011,1755.300049,1761.199951,1754.900024,1757,47
11/7/2011,1790.300049,1797,1755.300049,1755.300049,35
11/8/2011,1798.400024,1798.400024,1785.699951,1798.400024,14
11/9/2011,1790.900024,1793,1774.199951,1793,6
11/10/2011,1758.900024,1766.800049,1754.800049,1766.800049,16
11/11/2011,1787.5,1789.099976,1777,1777,28
11/14/2011,1777.800049,1779,1779,1779,24
11/15/2011,1781.699951,1783.099976,1761.300049,1779.199951,18
11/16/2011,1773.800049,1777.5,1757.699951,1777.5,65
11/17/2011,1719.800049,1755.300049,1714,1755.300049,54
11/18/2011,1724.699951,1736,1719,1725,14
11/21/2011,1678.300049,1704.599976,1674.400024,1704.599976,9
11/22/2011,1702.199951,1702.199951,1675.400024,1675.400024,13
11/23/2011,1695.699951,1700,1681.599976,1691.199951,34
11/25/2011,1685.5,1693.5,1675.300049,1690.099976,28
11/28/2011,1710.800049,1710.800049,1710.800049,1710.800049,175525
11/29/2011,1713.400024,1718.400024,1704,1711.300049,64786
11/30/2011,1745.5,1749.199951,1699.900024,1714,15463
12/1/2011,1735.300049,1753.300049,1734.5,1747,1350
12/2/2011,1747,1762.900024,1741.599976,1744.800049,1067
12/5/2011,1730.699951,1752.599976,1718.699951,1748.900024,756
12/6/2011,1727.900024,1731.800049,1703,1722.099976,648
12/7/2011,1740.900024,1741.900024,1720,1730.599976,300
12/8/2011,1709.800049,1752.300049,1705.400024,1742,942
12/9/2011,1712.800049,1720.699951,1705.699951,1713.300049,568
12/12/2011,1664.199951,1708.199951,1658.5,1707.5,894
12/13/2011,1659.900024,1671.800049,1628,1654.699951,274
12/14/2011,1584.300049,1639.5,1565.800049,1636.5,890
12/15/2011,1574.599976,1592.800049,1565.599976,1571.400024,589
12/16/2011,1595.599976,1595.900024,1586,1587.400024,57
12/19/2011,1594.400024,1603.400024,1589.699951,1596.400024,92
12/20/2011,1615.599976,1617,1596.400024,1596.400024,215
12/21/2011,1611.900024,1635,1608.300049,1615.599976,38
12/22/2011,1608.900024,1610,1601.900024,1608.800049,599
12/23/2011,1604.699951,1612.800049,1604.699951,1612,62
12/27/2011,1594.199951,1599,1592.599976,1599,52
12/28/2011,1562.900024,1588.599976,1561.300049,1584.900024,763
12/29/2011,1539.900024,1559.300049,1525,1559.300049,866
12/30/2011,1565.800049,1579.5,1547.900024,1549.400024,289
1/3/2012,1599.699951,1604.300049,1566,1568.900024,229
1/4/2012,1611.900024,1618.599976,1594.5,1596.599976,172
1/5/2012,1619.400024,1624.099976,1597.800049,1610.800049,362
1/6/2012,1616.099976,1627.800049,1616.099976,1622.5,20
1/9/2012,1607.5,1620.099976,1607.5,1614.300049,8
1/10/2012,1631,1638,1619.900024,1619.900024,47
1/11/2012,1639.199951,1645.400024,1633.800049,1634.800049,65
1/12/2012,1647.300049,1656.099976,1645.199951,1645.199951,84
1/13/2012,1630.400024,1643.400024,1630.400024,1638.900024,368
1/17/2012,1655.199951,1657.800049,1642.099976,1643.699951,16
1/18/2012,1659.5,1660.300049,1654,1654,11
1/19/2012,1654.099976,1664.400024,1653.5,1663,58
1/20/2012,1663.699951,1664.300049,1652.800049,1652.800049,8
1/23/2012,1678,1680,1669.900024,1676.900024,10
1/24/2012,1664.199951,1668.199951,1664.199951,1666.900024,5
1/25/2012,1699.800049,1706.199951,1672,1673,239
1/26/2012,1726.300049,1729,1721,1729,16
1/27/2012,1731.800049,1734.099976,1727,1727,175023
