,y,x,intercept,coef,R2
74,return_014d,TxTfrCnt_ma7_ma30,0.050583626356452575,[0.4122284],0.051206754427194356
42,return_014d,mvrv_volatility,0.013686860228588137,[0.08146663],0.01164975020319392
66,return_014d,HashRate_ma7_ma30,0.020669683156378536,[0.59703927],0.0829861318176438
2,return_014d,rate_up_market_count,0.05692382178738591,[-0.0095825],2.2858995243124625e-05
50,return_014d,signal_confidence,0.3413628550482111,[-0.33467171],0.02470796148777621
58,return_014d,polymarket_sentiment,0.05589129170548709,[0.0015821],2.96095960083953e-07
34,return_014d,mvrv_zone,0.055883263501218,[0.11140594],0.13405719549282358
66,return_014d,Mayer_multiple,-0.12622175254918017,[0.13607351],0.20974258420895786
18,return_014d,mvrv_gradient,0.05879096941222653,[0.10327232],0.07447781722017921
18,return_014d,Low,0.030098201512240335,[-1.01935609e-07],0.000501390053792794
26,return_014d,rate_down_volume_z_exp,0.056884087205928614,[-0.24528041],2.3334452090906233e-05
34,return_014d,Volume,0.02526633082787188,[9.85443904e-14],0.0002516640324569108
18,return_014d,rate_up_volume_z_exp,0.056931131873807314,[-0.51080052],0.00012771796141053393
34,return_014d,btc_sentiment,0.05589129170548709,[0.0015821],2.96095960083953e-07
26,return_014d,Open,0.03052968222040695,[-1.15746897e-07],0.0006704945082685043
50,return_014d,RSI,-0.38871781639226327,[0.00785786],0.6176034368959695
2,return_014d,price_vs_ma,0.006302865073783762,[0.23939242],0.1690385896442761
98,return_014d,price_ma7_ma30,0.01014747259990035,[1.47228106],0.6949265660259891
10,return_014d,High,0.030174599415466227,[-1.0058624e-07],0.0005237993110241979
2,return_014d,Close,0.029829777598406472,[-8.97736922e-08],0.00040370712014203836
58,return_014d,ATR,0.03587848969887825,[-7.62870687e-06],0.004728993854636099
10,return_014d,rate_down_market_count,0.056994184803955385,[-0.00893476],0.00011263214222834161
10,return_014d,mvrv_zscore,0.04415725447994568,[0.06220521],0.1175571053838882
11,return_030d,High,0.06599504282483003,[-1.62617133e-07],0.0005149861095252728
99,return_030d,price_ma7_ma30,0.03807029252608886,[3.40290521],0.726850065586861
59,return_030d,polymarket_sentiment,0.1294825591297422,[0.03228978],2.414711465281716e-05
35,return_030d,Volume,0.05080712684308933,[4.93994754e-13],0.00237890529902407
59,return_030d,ATR,0.0647508383908731,[-2.91451414e-06],0.0002596416563388493
83,return_030d,AdrBalCnt_ma7_ma30,0.08452771031281045,[4.19834054],0.041512104595295196
43,return_030d,PIC,0.08938702781485636,[1.4228052e-06],0.022108679064017145
67,return_030d,Mayer_multiple,-0.28925135483197706,[0.31069215],0.4113155748738321
19,return_030d,Low,0.06633017986226873,[-1.82137979e-07],0.0006021435583183354
3,return_030d,Close,0.06576381673550272,[-1.57199689e-07],0.0004656362040276196
51,return_030d,RSI,-0.5883769350038157,[0.01227229],0.5666659619624084
75,return_030d,TxTfrCnt_ma7_ma30,0.12749991682929432,[1.22246736],0.08816485782404027
27,return_030d,Open,0.06657820961813114,[-1.87464269e-07],0.0006615895834991559
91,return_030d,FeeTotNtv_ma7_ma30,0.14493696260502978,[0.22109436],0.016179198034657394
67,return_030d,HashRate_ma7_ma30,0.025022256405721588,[1.99878793],0.18209696025656075
35,return_030d,btc_sentiment,0.1294825591297422,[0.03228978],2.414711465281716e-05
19,return_030d,rate_up_volume_z_exp,0.14648596183183119,[-0.59449341],3.387748507777122e-05
27,return_030d,rate_down_volume_z_exp,0.14645170296648713,[-0.40165026],1.225280154915076e-05
27,return_030d,mvrv_acceleration,0.13978407868919787,[0.19333918],0.04582316918337781
11,return_030d,mvrv_zscore,0.11898463560716771,[0.13398359],0.10679231552411983
35,return_030d,mvrv_zone,0.14431562940256884,[0.23912484],0.12094569236130881
11,return_030d,rate_down_market_count,0.1466153918607665,[-0.01363974],5.1401328693301274e-05
43,return_030d,mvrv_volatility,0.001840493631837914,[0.27236611],0.025493697364045498
3,return_030d,price_vs_ma,0.010233593458102402,[0.64320545],0.2388041007726066
19,return_030d,mvrv_gradient,0.15198403026935975,[0.29577759],0.11963447926915627
3,return_030d,rate_up_market_count,0.14680488766864416,[-0.04876994],0.0001159490650410877
51,return_030d,signal_confidence,1.1169398712042464,[-1.14192712],0.05631774057725425
36,return_060d,Volume,0.09716022677087344,[1.57352263e-12],0.009059822378775007
52,return_060d,signal_confidence,4.000272930201211,[-4.24919362],0.09112519713497402
36,return_060d,btc_sentiment,0.3531604025775288,[0.0654116],1.1579812366546705e-05
92,return_060d,FeeTotNtv_ma7_ma30,0.38408442261462034,[0.57985925],0.013004805062095226
28,return_060d,mvrv_acceleration,0.3932210353193946,[-0.09719055],0.0013534659640469515
12,return_060d,mvrv_zscore,0.34034498706934013,[0.24129759],0.04048095875036506
52,return_060d,RSI,-0.6837124234311034,[0.01538965],0.3344837753521288
60,return_060d,polymarket_sentiment,0.3531604025775288,[0.0654116],1.1579812366546705e-05
20,return_060d,mvrv_gradient,0.39768685721443087,[0.40690711],0.026465213737275062
4,return_060d,rate_up_market_count,0.3916402386240859,[-0.19083433],0.0002075029215559132
84,return_060d,AdrBalCnt_ma7_ma30,0.03417380054750585,[24.17833228],0.16089001888449206
12,return_060d,High,0.13379781188735693,[-9.20749576e-08],6.197081269654348e-05
28,return_060d,Open,0.13486821514564695,[-1.33535536e-07],0.00012600465183487675
36,return_060d,mvrv_zone,0.38609581563823475,[0.44388013],0.04871168715081142
44,return_060d,PIC,0.19315100220278453,[3.15911699e-06],0.04091141922879682
12,return_060d,rate_down_market_count,0.3909043874556329,[-0.05392631],9.391074498588114e-05
100,return_060d,price_ma7_ma30,0.17972990441095008,[6.53054193],0.312814051788598
28,return_060d,rate_down_volume_z_exp,0.3902918692836096,[-1.80136235],2.8807025124533148e-05
76,return_060d,TxTfrCnt_ma7_ma30,0.3369061749334086,[3.30394882],0.07525659820858432
60,return_060d,ATR,0.11377333770775344,[1.57371972e-05],0.0028414369987543875
68,return_060d,Mayer_multiple,-0.594273690614913,[0.64264776],0.660544083079778
44,return_060d,mvrv_volatility,-0.11316267954325865,[0.94541106],0.035894262315552594
4,return_060d,price_vs_ma,0.025947245395594898,[1.71060841],0.197159792697556
68,return_060d,HashRate_ma7_ma30,0.00917094122151757,[6.24385309],0.2076498419127445
20,return_060d,Low,0.13508468052430578,[-1.44604354e-07],0.00014246329261780044
4,return_060d,Close,0.1338491030572387,[-9.57450107e-08],6.483610268470663e-05
20,return_060d,rate_up_volume_z_exp,0.39036870638233084,[-2.23157327],5.5795216991727514e-05
13,return_090d,mvrv_zscore,0.5843464674921334,[0.2984423],0.03640368151688056
21,return_090d,rate_up_volume_z_exp,0.6466956301864194,[-3.40642137],7.64372227495258e-05
21,return_090d,Low,0.20896175491645613,[1.29809136e-07],5.63019566649503e-05
37,return_090d,btc_sentiment,0.620202110411251,[0.03108256],1.5359869792730407e-06
37,return_090d,Volume,0.15206590710520212,[2.78390824e-12],0.013907730375701144
29,return_090d,Open,0.2079840234166493,[1.63245265e-07],9.235210312330544e-05
29,return_090d,rate_down_volume_z_exp,0.6466758301303558,[-3.29615486],5.670799535073545e-05
5,return_090d,price_vs_ma,0.052181251088900815,[2.77589244],0.30483326970855285
5,return_090d,Close,0.20682159958739316,[2.06094427e-07],0.00014732953772900181
13,return_090d,High,0.20629764193717873,[2.21207267e-07],0.00017541860285863464
93,return_090d,FeeTotNtv_ma7_ma30,0.6348233382640571,[0.30082416],0.0020561085451259453
77,return_090d,TxTfrCnt_ma7_ma30,0.5855640470961787,[3.38990851],0.046538872046445356
45,return_090d,mvrv_volatility,-0.23140019344735896,[1.64304164],0.06368582048587568
61,return_090d,ATR,0.15379591137773096,[5.27377611e-05],0.015649460300648288
45,return_090d,PIC,0.3138530848596052,[5.17870396e-06],0.05391728681687458
37,return_090d,mvrv_zone,0.641152079866023,[0.55884288],0.04539564826357445
13,return_090d,rate_down_market_count,0.6475482783814279,[-0.0840703],0.0001341921033705118
85,return_090d,AdrBalCnt_ma7_ma30,-0.10594113106349612,[51.00082704],0.4205259453015229
5,return_090d,rate_up_market_count,0.6489370222861646,[-0.32425988],0.0003522262871187287
69,return_090d,HashRate_ma7_ma30,0.14339016858148895,[8.16228775],0.20845484512883616
29,return_090d,mvrv_acceleration,0.6602324531764854,[-0.41527879],0.014527966214628707
69,return_090d,Mayer_multiple,-0.91072843850841,[0.99481709],0.7762739455521591
61,return_090d,polymarket_sentiment,0.620202110411251,[0.03108256],1.5359869792730407e-06
53,return_090d,signal_confidence,7.237727339497961,[-7.76131248],0.17859023834122079
21,return_090d,mvrv_gradient,0.6492562011764151,[0.17091957],0.002745362303702925
101,return_090d,price_ma7_ma30,0.43592403369443944,[6.35389488],0.17396775569065237
53,return_090d,RSI,-0.72989335336324,[0.01779385],0.21929578440849695
